Artist,Title,Lyrics
Red Hot Chili Peppers,Rivers Of Avalon,"Deep inside these sleeping shallows  
Far away where no-one goes now  
Take my place in golden space  
Of TV stars that no-one knows now  
Deep deep mystery is talkin' to me  
She's the giver of constant animation  
All around and ready to make a new formation  
You're the reason I'm in this world...  
I don't believe in everything I see  
Rivers of Avalon  
Your supernatural energy  
Part of my scenery  
What I belong to is you ecstacy  
Rivers of Avalon  
Your faith unwavering is king  
The clone of my own loneliness has got to fade  
What am I known to?  
Little garland in your starling  
Loving waves that I've succumbed to  
Deep deep mystery is talkin' to me  
She's the giver of constant adulation  
All around and ready to make a new formation  
You're the reason I'm in this world...  
I don't believe in everything I see  
Rivers of Avalon  
Your supernatural energy  
Part of my scenery  
What I belong to is your ecstacy  
Rivers of Avalon  
Your faith unwavering is king  
What do you see in me?  
Deep deep mystery is talkin' to me  
She's the giver of constant animation  
All around and ready to make a new formation  
You're the reason I'm in this world...  
I don't believe in everything I see  
Rivers of Avalon  
Your supernatural energy  
Part of my scenery  
What I belong to is your ecstacy  
Rivers of Avalon  
Your faith unwavering is king  
I don't believe in everything I see  
Rivers of Avalon  
Your supernatural energy  
All that it means...  
  

"
Def Leppard,Sorrow Is A Woman,"You're always pretending to be  
Someone who prefers to be free  
You think you can fool me with your lyin' eyes  
But what is this game that you play  
When all that your trying to say  
Is that your lonely, in need of a friend  
  
Oh yeah sorrow woman, I just can't seem to get to you  
Oh yeah sorrow woman, if only you could see you as I do  
  
And can't you see that it's true  
There's someone as lonely as you  
Trying so hard, so hard to get through  
And why can't everyone see the way that it really should be  
Why hide your feelings and suffer the pain  
  
Oh yeah, sorrow woman, I just can't seem to get to you  
Oh yeah, sorrow woman, if only you could see you as I do  
  
You know that sorrow is a woman  
You know she'll make you feel sad  
You know that sorrow is a woman  
  
Oh yeah, sorrow woman, I just can't seem to get to you  
Oh yeah, sorrow woman, if only you could see you as I do

"
Robbie Williams,Burslem Normals,"Can you hear me?  
  
In your face  
There's nowt left  
They have defaced  
The marks you left  
Upon the wall  
  
The writing not on there at all  
Can you stand what you stood for  
Are you more normal then before?  
  
Goodbye to the normals  
Goodbye to the normals  
  
In your place  
There's just chaps  
The kids aren't alright  
They know  
They're born today  
  
Reaching out to feel the sun  
At the time it seemed like fun  
I was there when you got done  
Lived two weeks by the surf  
We used to know what we were worth  
Before the normals fell to earth  
  
Goodbye to the normals  
Goodbye to the normals  
  
Whatever happened  
To the mean mortals crew  
The fine young casuals blew a fuse  
And all the Burslem lads  
Now that they're all dads  
They meant so much to me  
It makes me sad  
  
In your wake  
There's nowt left

"
Chicago,Baby What A Big Surprise,"Right before my very eyes  
I thought that you were only fakin' it  
And like before my heart was takin' it  
Baby, what a big surprise  
Right before my very eyes  
Yesterday it seemed to me  
My life was nothin' more than wasted time  
But here today you've softly changed my mind  
Baby, what a big surprise  
Right before my very eyes  
Just to be alone  
Was a little more than I could take  
Then you came to stay  
Hold me in the mornin'  
Love me in the afternoon  
Help me find my way, heh, yeah  
Now and then just like before  
I think about the love I've thrown away  
But now it doesn't matter anyway  
Baby, what a big surprise  
Right before my very eyes  
Baby, what a big surprise  
Right before my very eyes  
Baby, what a big surprise  
Right before my very eyes  
Baby, what a big surprise  
Right before my very eyes  
Baby, what a big surprise  

"
Lou Reed,Science Of The Mind,"In the science of the mind  
There is no forgiving  
Paralyzed I lay here sleeping  
Quiet as a little child  
Heart starts beating  
Blood rushing pounding  
Moving quiet as a little lamb  
  
In the science of the mind  
Limbs are bound devoid of movement  
The injuries we do in kind  
Are visited upon us often  
  
In the science of the mind  
Trying hard to move a shadow  
Don't bury me I'm still alive  
The science of the mind unyielding  
The science of the mind unyielding  
The science of the mind unyielding

"
Black Sabbath,Hole In The Sky,"I'm looking through a hole in the sky  
I'm seeing nowhere through the eyes of a lie  
I'm getting closer to the end of the line  
I'm living easy where the sun doesn't shine  
  
I'm living in a room without any view  
I'm living free because the rent's never due  
The synonyms of all the things that I've said  
Are just the riddles that are built in my head  
  
Hole in the sky, take me to heaven  
Window in time, through it I fly  
  
I've seen the stars disappear in the sun  
The shooting's easy if you've got the right gun  
And even though I'm sitting waiting for Mars  
I don't believe there's any future in cause  
  
Hole in the sky, take me to heaven  
Window in time, through it I fly  
Yeah  
  
I've watched the dogs of war enjoying their feast  
I've seen the western world go down in the east  
The food of love became the greed of our time  
But now I'm living on the profits of pride

"
Chris Rea,If You Choose To Go,"There's a street outside my window  
There's a light outside my door  
There's a road straight through this old town  
There's a boat on every shore  
There's a promise down that freeway  
But there is no guarantee  
There are dreams on every ocean  
There are storms on every sea  
  
If you choose to go  
  
Now I've been out upon that ocean  
Sometimes further that before  
Sometimes not even past my waistline  
And I screamed at what I saw  
Many times along that freeway  
Returning sometimes beat  
There are dreams on every ocean  
There are storms on every sea  
  
If you choose to go  
  
Plenty of places, plenty of things to see  
Plenty of faces, plenty of ways to be  
  
If you choose to go

"
Vince Gill,When I Look Into Your Heart,"[Chorus]  
When I look into your heart  
I see us holding each other  
I can finally see forever  
When I look into your heart  
  
I've seen the moon dance on the waters  
Watched the morning sun slip through the trees  
Bu tthe sight of you is the vision  
That takes me to my knees  
  
[Chorus]  
  
I've never known such comfort  
I've never felt such release  
I've never felt so connected  
I've never known such peace  
  
[Chorus]  
  
I can finally see forever  
When I look into your heart

"
Pearl Jam,Long Road,"And I wished for so long. Cannot stay.  
All the precious moments. Cannot stay.  
It's not like wings have fallen. Cannot stay.  
But still something's missing. I cannot say, yeah.  
Holding hands are daughters and sons.  
And their faiths are falling down, down, down, down.  
I have wished for so long. How I wish for you today.  
Will I walk the long road? (the long road) Cannot stay. (the long road)  
There's no need to say goodbye. (to say goodbye)  
All the friends and family.  
All the memories going round, round, round, round.  
I have wished for so long. How I wish for you today.  
And the wind keeps roaring. And the sky keeps turning grey.  
And the sun is set. The sun will rise another day.  
I...  
I have wished for so long. How I wish for you today.  
I have wished for so long. How I wish for you today.  
Will I walk the long road? We all walk the long road.  
Will I walk the long road. We all walk the long road.  
Will I walk the long road?  
Will I walk the long road? We all walk the long road.  
Will I walk the long road? We all walk the long road.  
Will I walk the long road?  
  

"
Erasure,The Circus,"Call it new technology  
And they use it to burn  
And they show no concern  
Work for their prosperity  
While the big wheels turn  
Now it's too late to learn  
  
Don't upset the teacher  
Though we know he lied to you  
Don't upset the preacher  
He's gonna close his eyes for you  
  
And it's a shame  
That you're so afraid  
Just a worker waiting  
In the pouring rain  
Putting back the pieces  
Of a broken dream  
Putting back the pieces  
Of a broken dream  
  
Father worked in industry  
Now the work has moved on  
And the factory's gone  
See them sell your history  
Where once you were strong  
And you used to belong  
  
There was once a future  
For a working man  
There was once a lifetime  
For a skillful hand yesterday  
  
And it's a shame  
That you're so afraid  
Just a worker waiting  
In the pouring rain  
Putting back the pieces  
Of a broken dream  
Putting back the pieces  
Of a broken dream  
  
There was once a future  
For a working man  
There was once a lifetime  
For a skillful hand yesterday  
  
And it's a shame  
That you're so afraid  
Just a worker waiting  
In the pouring rain  
Putting back the pieces  
Of a broken dream  
Putting back the pieces  
Of a broken dream  
Putting back the pieces  
Of a broken dream  
Of a broken, of a broken dream

"
